"_id","_index","_score",category,"category.keyword",currency,"customer_first_name","customer_first_name.keyword","customer_full_name","customer_full_name.keyword","customer_gender","customer_id","customer_last_name","customer_last_name.keyword","customer_phone","day_of_week","day_of_week_i",email,"event.dataset","geoip.city_name","geoip.continent_name","geoip.country_iso_code","geoip.location","geoip.region_name",manufacturer,"manufacturer.keyword","order_date","order_id","products._id","products._id.keyword","products.base_price","products.base_unit_price","products.category","products.category.keyword","products.created_on","products.discount_amount","products.discount_percentage","products.manufacturer","products.manufacturer.keyword","products.min_price","products.price","products.product_id","products.product_name","products.product_name.keyword","products.quantity","products.sku","products.tax_amount","products.taxful_price","products.taxless_price","products.unit_discount_amount",sku,"taxful_total_price","taxless_total_price","total_quantity","total_unique_products",type,user
SYOFm5oBSErIf1UmL5XX,"kibana_sample_data_ecommerce","-","Women's Clothing","Women's Clothing",EUR,Clarice,Clarice,"Clarice Ryan","Clarice Ryan",FEMALE,18,Ryan,Ryan,"(empty)",Wednesday,2,"clarice@ryan-family.zzz","sample_ecommerce",Birmingham,Europe,GB,"POINT (-1.9 52.5)",Birmingham,"Spherecords, Tigress Enterprises","Spherecords, Tigress Enterprises","Nov 19, 2025 @ 15:07:26.000",568469,"sold_product_568469_10902, sold_product_568469_8739","sold_product_568469_10902, sold_product_568469_8739","$26.98, $28.98","$26.98, $28.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 14, 2016 @ 15:07:26.000, Dec 14, 2016 @ 15:07:26.000","0, 0","0, 0","Spherecords, Tigress Enterprises","Spherecords, Tigress Enterprises","$13.76, $15.94","$26.98, $28.98","10,902, 8,739","Pyjamas - black, Jumper - anthractie multicolor","Pyjamas - black, Jumper - anthractie multicolor","1, 1","ZO0659806598, ZO0070100701","0, 0","$26.98, $28.98","$26.98, $28.98","0, 0","ZO0659806598, ZO0070100701","$55.97","$55.97",2,2,order,clarice
M4OFm5oBSErIf1UmLZTt,"kibana_sample_data_ecommerce","-","Women's Clothing, Women's Accessories","Women's Clothing, Women's Accessories",EUR,Elyssa,Elyssa,"Elyssa Dawson","Elyssa Dawson",FEMALE,27,Dawson,Dawson,"(empty)",Wednesday,2,"elyssa@dawson-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York",Pyramidustries,Pyramidustries,"Nov 19, 2025 @ 14:54:29.000",568458,"sold_product_568458_19261, sold_product_568458_24302","sold_product_568458_19261, sold_product_568458_24302","$13.99, $10.99","$13.99, $10.99","Women's Clothing, Women's Accessories","Women's Clothing, Women's Accessories","Dec 14, 2016 @ 14:54:29.000, Dec 14, 2016 @ 14:54:29.000","0, 0","0, 0","Pyramidustries, Pyramidustries","Pyramidustries, Pyramidustries","$7.01, $5.71","$13.99, $10.99","19,261, 24,302","Vest - black, Snood - dark grey/light grey","Vest - black, Snood - dark grey/light grey","1, 1","ZO0164501645, ZO0195501955","0, 0","$13.99, $10.99","$13.99, $10.99","0, 0","ZO0164501645, ZO0195501955","$24.98","$24.98",2,2,order,elyssa
64OFm5oBSErIf1UmNZ29,"kibana_sample_data_ecommerce","-","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Robert,Robert,"Robert Lloyd","Robert Lloyd",MALE,29,Lloyd,Lloyd,"(empty)",Wednesday,2,"robert@lloyd-family.zzz","sample_ecommerce","-",Asia,SA,"POINT (45 25)","-","Low Tide Media","Low Tide Media","Nov 19, 2025 @ 14:45:50.000",568455,"sold_product_568455_13779, sold_product_568455_15022","sold_product_568455_13779, sold_product_568455_15022","$22.98, $60.00","$22.98, $60.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 14, 2016 @ 14:45:50.000, Dec 14, 2016 @ 14:45:50.000","0, 0","0, 0","Low Tide Media, Low Tide Media","Low Tide Media, Low Tide Media","$11.27, $30.59","$22.98, $60.00","13,779, 15,022","Formal shirt - light blue, Lace-ups - cognac","Formal shirt - light blue, Lace-ups - cognac","1, 1","ZO0413104131, ZO0392303923","0, 0","$22.98, $60.00","$22.98, $60.00","0, 0","ZO0413104131, ZO0392303923","$83","$83.00",2,2,order,robert
uYOFm5oBSErIf1UmLZPs,"kibana_sample_data_ecommerce","-","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,"Wilhemina St.","Wilhemina St.","Wilhemina St. Jensen","Wilhemina St. Jensen",FEMALE,17,Jensen,Jensen,"(empty)",Wednesday,2,"wilhemina st.@jensen-family.zzz","sample_ecommerce","Monte Carlo",Europe,MC,"POINT (7.4 43.7)","-","Pyramidustries, Oceanavigations","Pyramidustries, Oceanavigations","Nov 19, 2025 @ 14:25:41.000",568439,"sold_product_568439_16712, sold_product_568439_5602","sold_product_568439_16712, sold_product_568439_5602","$20.98, $100.00","$20.98, $100.00","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 14, 2016 @ 14:25:41.000, Dec 14, 2016 @ 14:25:41.000","0, 0","0, 0","Pyramidustries, Oceanavigations","Pyramidustries, Oceanavigations","$9.66, $46.00","$20.98, $100.00","16,712, 5,602","Blouse - black/pink/blue, Winter boots - black","Blouse - black/pink/blue, Winter boots - black","1, 1","ZO0170601706, ZO0251502515","0, 0","$20.98, $100.00","$20.98, $100.00","0, 0","ZO0170601706, ZO0251502515","$121","$121.00",2,2,order,wilhemina
MoOFm5oBSErIf1UmLZTt,"kibana_sample_data_ecommerce","-","Women's Shoes","Women's Shoes",EUR,Elyssa,Elyssa,"Elyssa Padilla","Elyssa Padilla",FEMALE,27,Padilla,Padilla,"(empty)",Wednesday,2,"elyssa@padilla-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York","Primemaster, Tigress Enterprises","Primemaster, Tigress Enterprises","Nov 19, 2025 @ 14:17:02.000",568434,"sold_product_568434_15265, sold_product_568434_22206","sold_product_568434_15265, sold_product_568434_22206","$145.00, $14.99","$145.00, $14.99","Women's Shoes, Women's Shoes","Women's Shoes, Women's Shoes","Dec 14, 2016 @ 14:17:02.000, Dec 14, 2016 @ 14:17:02.000","0, 0","0, 0","Primemaster, Tigress Enterprises","Primemaster, Tigress Enterprises","$78.31, $7.05","$145.00, $14.99","15,265, 22,206","High heeled boots - brown, Ballet pumps - navy","High heeled boots - brown, Ballet pumps - navy","1, 1","ZO0362203622, ZO0000300003","0, 0","$145.00, $14.99","$145.00, $14.99","0, 0","ZO0362203622, ZO0000300003","$160","$160.00",2,2,order,elyssa
"D4OFm5oBSErIf1UmMpn-","kibana_sample_data_ecommerce","-","Men's Clothing","Men's Clothing",EUR,Boris,Boris,"Boris Ruiz","Boris Ruiz",MALE,36,Ruiz,Ruiz,"(empty)",Wednesday,2,"boris@ruiz-family.zzz","sample_ecommerce","-",Europe,GB,"POINT (-0.1 51.5)","-","Low Tide Media","Low Tide Media","Nov 19, 2025 @ 14:12:43.000",568428,"sold_product_568428_22274, sold_product_568428_12864","sold_product_568428_22274, sold_product_568428_12864","$65.00, $22.98","$65.00, $22.98","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 14, 2016 @ 14:12:43.000, Dec 14, 2016 @ 14:12:43.000","0, 0","0, 0","Low Tide Media, Low Tide Media","Low Tide Media, Low Tide Media","$34.44, $11.72","$65.00, $22.98","22,274, 12,864","Suit jacket - black, SLIM FIT - Formal shirt - black","Suit jacket - black, SLIM FIT - Formal shirt - black","1, 1","ZO0408404084, ZO0422304223","0, 0","$65.00, $22.98","$65.00, $22.98","0, 0","ZO0408404084, ZO0422304223","$88","$88.00",2,2,order,boris
"-oOFm5oBSErIf1UmK5A2","kibana_sample_data_ecommerce","-","Men's Clothing","Men's Clothing",EUR,Boris,Boris,"Boris Bradley","Boris Bradley",MALE,36,Bradley,Bradley,"(empty)",Wednesday,2,"boris@bradley-family.zzz","sample_ecommerce","-",Europe,GB,"POINT (-0.1 51.5)","-","Microlutions, Elitelligence","Microlutions, Elitelligence","Nov 19, 2025 @ 13:42:29.000",568397,"sold_product_568397_24419, sold_product_568397_20207","sold_product_568397_24419, sold_product_568397_20207","$33.00, $28.98","$33.00, $28.98","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 14, 2016 @ 13:42:29.000, Dec 14, 2016 @ 13:42:29.000","0, 0","0, 0","Microlutions, Elitelligence","Microlutions, Elitelligence","$17.48, $13.92","$33.00, $28.98","24,419, 20,207","Cargo trousers - oliv, Trousers - black","Cargo trousers - oliv, Trousers - black","1, 1","ZO0112101121, ZO0530405304","0, 0","$33.00, $28.98","$33.00, $28.98","0, 0","ZO0112101121, ZO0530405304","$61.97","$61.97",2,2,order,boris
"i4OFm5oBSErIf1UmMpr_","kibana_sample_data_ecommerce","-","Women's Shoes","Women's Shoes",EUR,Elyssa,Elyssa,"Elyssa Mccarthy","Elyssa Mccarthy",FEMALE,27,Mccarthy,Mccarthy,"(empty)",Wednesday,2,"elyssa@mccarthy-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","Nov 19, 2025 @ 13:39:36.000",568393,"sold_product_568393_5224, sold_product_568393_18968","sold_product_568393_5224, sold_product_568393_18968","$85.00, $50.00","$85.00, $50.00","Women's Shoes, Women's Shoes","Women's Shoes, Women's Shoes","Dec 14, 2016 @ 13:39:36.000, Dec 14, 2016 @ 13:39:36.000","0, 0","0, 0","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","$41.66, $25.02","$85.00, $50.00","5,224, 18,968","Boots - cognac, High heeled sandals - black","Boots - cognac, High heeled sandals - black","1, 1","ZO0374103741, ZO0242102421","0, 0","$85.00, $50.00","$85.00, $50.00","0, 0","ZO0374103741, ZO0242102421","$135","$135.00",2,2,order,elyssa
lYOFm5oBSErIf1UmK5E3,"kibana_sample_data_ecommerce","-","Men's Clothing","Men's Clothing",EUR,Jackson,Jackson,"Jackson Harper","Jackson Harper",MALE,13,Harper,Harper,"(empty)",Wednesday,2,"jackson@harper-family.zzz","sample_ecommerce","Los Angeles","North America",US,"POINT (-118.2 34.1)",California,"Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","Nov 19, 2025 @ 13:36:43.000",568386,"sold_product_568386_11959, sold_product_568386_2774","sold_product_568386_11959, sold_product_568386_2774","$24.98, $85.00","$24.98, $85.00","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 14, 2016 @ 13:36:43.000, Dec 14, 2016 @ 13:36:43.000","0, 0","0, 0","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","$12.74, $45.88","$24.98, $85.00","11,959, 2,774","SLIM FIT - Formal shirt - lila, Classic coat - black","SLIM FIT - Formal shirt - lila, Classic coat - black","1, 1","ZO0422404224, ZO0291702917","0, 0","$24.98, $85.00","$24.98, $85.00","0, 0","ZO0422404224, ZO0291702917","$110","$110.00",2,2,order,jackson
WYOFm5oBSErIf1UmOKKT,"kibana_sample_data_ecommerce","-","Men's Clothing, Women's Accessories","Men's Clothing, Women's Accessories",EUR,Yuri,Yuri,"Yuri Carr","Yuri Carr",MALE,21,Carr,Carr,"(empty)",Wednesday,2,"yuri@carr-family.zzz","sample_ecommerce",Cannes,Europe,FR,"POINT (7 43.6)","Alpes-Maritimes","Spritechnologies, Elitelligence","Spritechnologies, Elitelligence","Nov 19, 2025 @ 13:26:38.000",568375,"sold_product_568375_11121, sold_product_568375_14185","sold_product_568375_11121, sold_product_568375_14185","$65.00, $24.98","$65.00, $24.98","Men's Clothing, Women's Accessories","Men's Clothing, Women's Accessories","Dec 14, 2016 @ 13:26:38.000, Dec 14, 2016 @ 13:26:38.000","0, 0","0, 0","Spritechnologies, Elitelligence","Spritechnologies, Elitelligence","$30.55, $11.75","$65.00, $24.98","11,121, 14,185","Winter jacket - black, Rucksack - washed black/black","Winter jacket - black, Rucksack - washed black/black","1, 1","ZO0623606236, ZO0605306053","0, 0","$65.00, $24.98","$65.00, $24.98","0, 0","ZO0623606236, ZO0605306053","$90","$90.00",2,2,order,yuri
